한글명,추가명,종목코드,표준코드,시장
ACE 유럽방산TOP10,,0102X0,KR70102X0002,KOSPI
ACE 인도시장대표BIG5그룹액티브,,487920,KR7487920001,KOSPI
ACE 인도컨슈머파워액티브,,487910,KR7487910002,KOSPI
ACE 인버스,,145670,KR7145670006,KOSPI
ACE 일라이릴리밸류체인,,497520,KR7497520007,KOSPI
ACE 일본Nikkei225(H),,238720,KR7238720007,KOSPI
ACE 일본TOPIX레버리지(H),,196030,KR7196030001,KOSPI
ACE 일본TOPIX인버스(합성 H),,205720,KR7205720006,KOSPI
ACE 일본반도체,,469160,KR7469160006,KOSPI
ACE 장기자산배분액티브,,0021C0,KR70021C0005,KOSPI
ACE 종합채권(AA-이상)액티브,,356540,KR7356540005,KOSPI
ACE 주주환원가치주액티브,,447430,KR7447430000,KOSPI
ACE 중국과창판STAR50,,416090,KR7416090009,KOSPI
ACE 중국본토CSI300,,168580,KR7168580009,KOSPI
ACE 중국본토CSI300레버리지(합성),,219900,KR7219900008,KOSPI
ACE 중장기국공채액티브,,272910,KR7272910001,KOSPI
ACE 차이나AI빅테크TOP2+액티브,,0087F0,KR70087F0003,KOSPI
ACE 차이나항셍테크,,371870,KR7371870007,KOSPI
ACE 코리아AI테크핵심산업,,380340,KR7380340000,KOSPI
ACE 코리아밸류업,,496120,KR7496120007,KOSPI
ACE 코스닥150,,354500,KR7354500001,KOSPI
ACE 코스피,,305050,KR7305050007,KOSPI
ACE 테슬라밸류체인액티브,,457480,KR7457480002,KOSPI
ACE 포스코그룹포커스,,469170,KR7469170005,KOSPI
AJ네트웍스,에이제이네트웍스,095570,KR7095570008,KOSPI
AK홀딩스,에이케이홀딩스,006840,KR7006840003,KOSPI
APS,APS홀딩스,054620,KR7054620000,KOSDAQ
AP시스템,,265520,KR7265520007,KOSDAQ
AP위성,,211270,KR7211270004,KOSDAQ
BF랩스,BFLABS,139050,KR7139050009,KOSDAQ
BGF,,027410,KR7027410000,KOSPI
BGF리테일,,282330,KR7282330000,KOSPI
BGF에코머티리얼즈,,126600,KR7126600006,KOSDAQ
BNK 26-06 특수채(AAA이상)액티브,,495710,KR7495710006,KOSPI
BNK 2차전지양극재,,466810,KR7466810009,KOSPI
BNK 미래전략기술액티브,,457930,KR7457930006,KOSPI
BNK 온디바이스AI,,487750,KR7487750002,KOSPI
BNK 주주가치액티브,,445690,KR7445690001,KOSPI
BNK 카카오그룹포커스,,0120J0,KR70120J0008,KOSPI
BNK금융지주,,138930,KR7138930003,KOSPI
BYC,비와이씨,001460,KR7001460005,KOSPI
BYC우,,001465,KR7001461003,KOSPI
CG인바이츠,,083790,KR7083790006,KOSDAQ
CJ,,001040,KR7001040005,KOSPI
CJ CGV,CGV,079160,KR7079160008,KOSPI
CJ ENM,CJ E&M,035760,KR7035760008,KOSDAQ
CJ 바이오사이언스,CJ바이오,311690,KR7311690002,KOSDAQ
CJ4우(전환),,00104K,KR700104K010,KOSPI
CJ대한통운,대한통운,000120,KR7000120006,KOSPI
CJ씨푸드,삼호F&G,011150,KR7011150000,KOSPI
CJ씨푸드1우,,011155,KR7011151008,KOSPI
CJ우,,001045,KR7001041003,KOSPI
CJ제일제당,,097950,KR7097950000,KOSPI
CJ제일제당 우,,097955,KR7097951008,KOSPI
CJ프레시웨이,프레시웨이,051500,KR7051500007,KOSDAQ
CMG제약,,058820,KR7058820002,KOSDAQ
CNT85,,056730,KR7056730005,KOSDAQ
CR홀딩스,,000480,KR7000480004,KOSPI
CS,,065770,KR7065770000,KOSDAQ
CSA 코스믹,,083660,KR7083660001,KOSDAQ
CS홀딩스,,000590,KR7000590000,KOSPI
DAISHIN343 AI반도체&인프라액티브,,486240,KR7486240005,KOSPI
DAISHIN343 K200,,434960,KR7434960001,KOSPI
DB,,012030,KR7012030003,KOSPI
DB금융스팩12호,,477760,KR7477760003,KOSDAQ
DB손해보험,동부화재/DB손보,005830,KR7005830005,KOSPI
DB증권,DB금융투자/동부증권,016610,KR7016610008,KOSPI
DB하이텍,동부하이텍,000990,KR7000990002,KOSPI
DGI,,099520,KR7099520009,KOSDAQ
DH오토넥스,대유플러스,000300,KR7000300004,KOSPI
DH오토리드,대유에이피,290120,KR7290120005,KOSDAQ
DH오토웨어,대성엘텍,025440,KR7025440009,KOSDAQ
DI동일,동일방직,001530,KR7001530005,KOSPI
DKME,대경기계,015590,KR7015590003,KOSPI
DL,,000210,KR7000210005,KOSPI
DL우,,000215,KR7000211003,KOSPI
DL이앤씨,,375500,KR7375500006,KOSPI
DL이앤씨2우(전환),,37550L,KR737550K029,KOSPI
DL이앤씨우,,37550K,KR737550K011,KOSPI
DMS,,068790,KR7068790005,KOSDAQ
DN오토모티브,,007340,KR7007340003,KOSPI
DRB동일,,004840,KR7004840005,KOSPI
DSC인베스트먼트,,241520,KR7241520006,KOSDAQ
DSR,,155660,KR7155660004,KOSPI
DSR제강,,069730,KR7069730000,KOSPI
DS단석,,017860,KR7017860008,KOSPI
DXVX,디엑스앤브이엑스,180400,KR7180400004,KOSDAQ
DYP,,092780,KR7092780006,KOSPI
E1,,017940,KR7017940008,KOSPI
E8,이에이트/E8IGHT,418620,KR7418620001,KOSDAQ
EDGC,이원다이애그노믹스,245620,KR7245620000,KOSDAQ
EG,,037370,KR7037370004,KOSDAQ
EMB,,278990,KR7278990007,KONEX
ESR켄달스퀘어리츠,,365550,KR7365550003,KOSPI
ES큐브,,050120,KR7050120005,KOSDAQ
F&F,,383220,KR7383220001,KOSPI
F&F홀딩스,,007700,KR7007700008,KOSPI
FOCUS 200,,0098Z0,KR70098Z0006,KOSPI
FOCUS AI코리아액티브,,448570,KR7448570002,KOSPI
FOCUS ESG리더스,,285690,KR7285690004,KOSPI
FOCUS 알리바바미국채커버드콜혼합,,0073X0,KR70073X0007,KOSPI
FSN,,214270,KR7214270001,KOSDAQ
GH신소재,,130500,KR7130500002,KOSDAQ
GKL,그랜드코리아레저,114090,KR7114090004,KOSPI
GS,,078930,KR7078930005,KOSPI
GST,글로벌스탠다드테크놀로지,083450,KR7083450007,KOSDAQ
GS건설,,006360,KR7006360002,KOSPI
GS글로벌,,001250,KR7001250000,KOSPI
GS리테일,,007070,KR7007070006,KOSPI
GS우,,078935,KR7078931003,KOSPI
GS피앤엘,,499790,KR7499790004,KOSPI
HANARO 200,,293180,KR7293180006,KOSPI
HANARO 200 TOP10,,407310,KR7407310002,KOSPI
HANARO 200TR,,332930,KR7332930007,KOSPI
HANARO 200선물레버리지,,304780,KR7304780000,KOSPI
HANARO 200선물인버스,,306520,KR7306520008,KOSPI
HANARO 26-12 은행채(AA+이상)액티브,,0123S0,KR70123S0004,KOSPI
HANARO 27-06 회사채(AA-이상)액티브,,0091M0,KR70091M0008,KOSPI
HANARO 32-10 국고채액티브,,448490,KR7448490003,KOSPI
HANARO CAPEX설비투자iSelect,,454320,KR7454320003,KOSPI
HANARO Fn K-POP&미디어,,395290,KR7395290000,KOSPI
HANARO Fn K-게임,,395280,KR7395280001,KOSPI
HANARO Fn K-뉴딜디지털플러스,,368190,KR7368190005,KOSPI
HANARO Fn K-메타버스MZ,,402460,KR7402460000,KOSPI
HANARO Fn K-반도체,,395270,KR7395270002,KOSPI
HANARO Fn K-푸드,,438900,KR7438900003,KOSPI
HANARO Fn5G산업,,367740,KR7367740008,KOSPI
HANARO Fn골프테마,,407300,KR7407300003,KOSPI
HANARO Fn전기&수소차,,381560,KR7381560002,KOSPI
HANARO Fn조선해운,,441540,KR7441540002,KOSPI
HANARO Fn친환경에너지,,381570,KR7381570001,KOSPI
HANARO K-뷰티,,479850,KR7479850000,KOSPI
HANARO KOFR금리액티브(합성),,453060,KR7453060006,KOSPI
HANARO KRX300,,304760,KR7304760002,KOSPI
HANARO K고배당,,322410,KR7322410002,KOSPI
HANARO MSCI Korea TR,,332940,KR7332940006,KOSPI
HANARO e커머스,,322400,KR7322400003,KOSPI
HANARO 글로벌금채굴기업,,473640,KR7473640001,KOSPI
HANARO 글로벌럭셔리S&P(합성),,354350,KR7354350001,KOSPI
HANARO 글로벌생성형AI액티브,,461340,KR7461340002,KOSPI
HANARO 글로벌워터MSCI(합성),,424460,KR7424460004,KOSPI
HANARO 글로벌탄소배출권선물ICE(합성),,401590,KR7401590005,KOSPI
HANARO 글로벌피지컬AI액티브,,0040S0,KR70040S0004,KOSPI
HANARO 농업융복합산업,,314700,KR7314700006,KOSPI
HANARO 머니마켓액티브,,486830,KR7486830003,KOSPI
HANARO 미국S&P500,,432840,KR7432840007,KOSPI
HANARO 바이오코리아액티브,,498050,KR7498050004,KOSPI
HANARO 반도체핵심공정주도주,,476260,KR7476260005,KOSPI
HANARO 원자력iSelect,,434730,KR7434730008,KOSPI
HANARO 유럽방산,,0082F0,KR70082F0008,KOSPI
HANARO 전력설비투자,,491820,KR7491820007,KOSPI
HANARO 종합채권(AA-이상)액티브,,461500,KR7461500001,KOSPI
HANARO 증권고배당TOP3플러스,,0111J0,KR70111J0009,KOSPI
HANARO 코리아밸류업,,495750,KR7495750002,KOSPI
HANARO 코스닥150,,304770,KR7304770001,KOSPI
HANARO 코스닥150선물레버리지,,306530,KR7306530007,KOSPI
HANARO 탄소효율그린뉴딜,,375760,KR7375760006,KOSPI
HB솔루션,,297890,KR7297890006,KOSDAQ
HB인베스트먼트,,440290,KR7440290005,KOSDAQ
HB테크놀러지,,078150,KR7078150000,KOSDAQ
HC보광산업,,225530,KR7225530005,KOSDAQ
HC홈센타,,060560,KR7060560000,KOSDAQ
HDC,,012630,KR7012630000,KOSPI
HDC랩스,,039570,KR7039570007,KOSPI
HDC현대EP,,089470,KR7089470009,KOSPI
HDC현대산업개발,,294870,KR7294870001,KOSPI
HD건설기계,,267270,KR7267270007,KOSPI
HD한국조선해양,,009540,KR7009540006,KOSPI
HD현대,,267250,KR7267250009,KOSPI
HD현대마린솔루션,,443060,KR7443060009,KOSPI
HD현대마린엔진,,071970,KR7071970008,KOSPI
HD현대에너지솔루션,,322000,KR7322000001,KOSPI
HD현대일렉트릭,,267260,KR7267260008,KOSPI
HD현대중공업,,329180,KR7329180004,KOSPI
HEM파마,HEM파마,376270,KR7376270005,KOSDAQ
HJ중공업,,097230,KR7097230007,KOSPI
HK 200,,491700,KR7491700001,KOSPI
HK 26-12 회사채(AA-이상)액티브,,0000Y0,KR70000Y0004,KOSPI
HK S&P코리아로우볼,,215620,KR7215620006,KOSPI
HK 머니마켓액티브,,0113P0,KR70113P0009,KOSPI
HK 베스트일레븐액티브,,391670,KR7391670007,KOSPI
HK 종합채권(AA-이상)액티브,,472920,KR7472920008,KOSPI
HK이노엔,,195940,KR7195940002,KOSDAQ
HL D&I,,014790,KR7014790000,KOSPI
HLB,,028300,KR7028300002,KOSDAQ
HLB글로벌,,003580,KR7003580008,KOSPI
HLB바이오스텝,,278650,KR7278650007,KOSDAQ
HLB생명과학,,067630,KR7067630004,KOSDAQ
HLB이노베이션,,024850,KR7024850000,KOSDAQ
HLB제넥스,,187420,KR7187420005,KOSDAQ
HLB제약,,047920,KR7047920004,KOSDAQ
HLB테라퓨틱스,,115450,KR7115450009,KOSDAQ
HLB파나진,,046210,KR7046210001,KOSDAQ
HLB펩,,196300,KR7196300008,KOSDAQ
HL만도,,204320,KR7204320006,KOSPI
HL홀딩스,,060980,KR7060980000,KOSPI
HMM,현대상선,011200,KR7011200003,KOSPI
HPSP,,403870,KR7403870009,KOSDAQ
HRS,,036640,KR7036640001,KOSDAQ
HS애드,,035000,KR7035000009,KOSPI
HS화성,,002460,KR7002460004,KOSPI
HS효성,,487570,KR7487570004,KOSPI
HS효성첨단소재,,298050,KR7298050006,KOSPI
IBKS제23호스팩,,467930,KR7467930004,KOSDAQ
IBKS제24호스팩,,469480,KR7469480008,KOSDAQ
IBKS제25호스팩,,0099X0,KR70099X0007,KOSDAQ
INVENI,인베니/예스코홀딩스,015360,KR7015360001,KOSPI
ISC,,095340,KR7095340006,KOSDAQ
ITF 200,,472840,KR7472840008,KOSPI
ITF K-AI반도체코어테크,,0005G0,KR70005G0001,KOSPI
ITF 중기종합채권(AA-이상)액티브,,0135Y0,KR70135Y0002,KOSPI
JB금융지주,,175330,KR7175330000,KOSPI
JTC,,950170,KR8392080006,KOSDAQ
JW생명과학,,234080,KR7234080000,KOSPI
JW신약,,067290,KR7067290007,KOSDAQ
JW중외제약,,001060,KR7001060003,KOSPI
JW중외제약2우B,,001067,KR7001062009,KOSPI
JW중외제약우,,001065,KR7001061001,KOSPI
JW홀딩스,,096760,KR7096760004,KOSPI
JYP Ent.,JYP,035900,KR7035900000,KOSDAQ
KBG,,318000,KR7318000007,KOSDAQ
KBI동양철관,,008970,KR7008970006,KOSPI
KBI메탈,,024840,KR7024840001,KOSDAQ
KB금융,,105560,KR7105560007,KOSPI
KB발해인프라,,415640,KR7415640002,KOSPI
KB스타리츠,,432320,KR7432320000,KOSPI
KB오토시스,,024120,KR7024120008,KOSDAQ
KB제27호스팩,,464680,KR7464680008,KOSDAQ
KB제29호스팩,,478390,KR7478390008,KOSDAQ
KB제30호스팩,,486630,KR7486630007,KOSDAQ
KB제31호스팩,,492220,KR7492220009,KOSDAQ
KB제32호스팩,,0037T0,KR70037T0008,KOSDAQ
KB제33호스팩,,0072Z0,KR70072Z0006,KOSDAQ
KCC,,002380,KR7002380004,KOSPI
KCC건설,,021320,KR7021320007,KOSDAQ
KCC글라스,,344820,KR7344820006,KOSPI
KCGI 미국S&P500 TOP10,,483570,KR7483570008,KOSPI
KCTC,,009070,KR7009070004,KOSPI
KC그린홀딩스,,009440,KR7009440009,KOSPI
KC산업,,112190,KR7112190004,KONEX
KC코트렐,,119650,KR7119650000,KOSPI
KD,,044180,KR7044180008,KOSDAQ
KEC,,092220,KR7092220003,KOSPI
KG모빌리언스,,046440,KR7046440004,KOSDAQ
KG모빌리티,,003620,KR7003620002,KOSPI
KG스틸,,016380,KR7016380008,KOSPI
KG에코솔루션,,151860,KR7151860004,KOSDAQ
KG이니시스,,035600,KR7035600006,KOSDAQ
KG케미칼,,001390,KR7001390004,KOSPI
KH바텍,,060720,KR7060720000,KOSDAQ
KISCO홀딩스,,001940,KR7001940006,KOSPI
KIWOOM 200,,069660,KR7069660009,KOSPI
KIWOOM 200TR,,294400,KR7294400007,KOSPI
KIWOOM 200선물레버리지,,253250,KR7253250005,KOSPI
KIWOOM 200선물인버스,,253240,KR7253240006,KOSPI
KIWOOM 200선물인버스2X,,253230,KR7253230007,KOSPI
KIWOOM 26-09회사채(AA-이상)액티브,,464240,KR7464240001,KOSPI
KIWOOM CD금리액티브(합성),,458210,KR7458210002,KOSPI
KIWOOM Fn유전자혁신기술,,460280,KR7460280001,KOSPI
KIWOOM K-2차전지북미공급망,,488200,KR7488200007,KOSPI
KIWOOM K-반도체북미공급망,,488210,KR7488210006,KOSPI
KIWOOM K-테크TOP10,,469790,KR7469790000,KOSPI
KIWOOM KRX100,,100910,KR7100910009,KOSPI
KIWOOM TDF2030액티브,,435530,KR7435530001,KOSPI
KIWOOM TDF2040액티브,,435540,KR7435540000,KOSPI
KIWOOM TDF2050액티브,,435550,KR7435550009,KOSPI
KIWOOM 고배당,,104530,KR7104530001,KOSPI
KIWOOM 국고채10년,,148070,KR7148070006,KOSPI
KIWOOM 국고채10년레버리지,,167860,KR7167860006,KOSPI
KIWOOM 국고채30년액티브,,471460,KR7471460006,KOSPI
KIWOOM 국고채3년,,114470,KR7114470008,KOSPI
KIWOOM 글로벌AI반도체,,473490,KR7473490001,KOSPI
KIWOOM 글로벌전력GRID인프라,,489860,KR7489860007,KOSPI
KIWOOM 글로벌퓨처모빌리티,,394350,KR7394350003,KOSPI
KIWOOM 단기자금,,130730,KR7130730005,KOSPI
KIWOOM 단기채권ESG액티브,,419890,KR7419890009,KOSPI
KIWOOM 독일DAX,,411860,KR7411860000,KOSPI
KIWOOM 머니마켓액티브,,476450,KR7476450002,KOSPI
KIWOOM 물가채KIS,,430500,KR7430500009,KOSPI
KIWOOM 미국ETF산업STOXX,,426330,KR7426330007,KOSPI
KIWOOM 미국S&P500,,449770,KR7449770007,KOSPI
KIWOOM 미국S&P500 TOP10&배당다우비중전,,0127V0,KR70127V0005,KOSPI
KIWOOM 미국S&P500&GOLD,,0137W0,KR70137W0002,KOSPI
KIWOOM 미국S&P500&배당다우존스비중전환,,0127T0,KR70127T0009,KOSPI
KIWOOM 미국S&P500(H),,449780,KR7449780006,KOSPI
KIWOOM 미국S&P500모멘텀,,0137V0,KR70137V0003,KOSPI
KIWOOM 미국고배당&AI테크,,0107F0,KR70107F0009,KOSPI
KIWOOM 미국나스닥100(H),,453080,KR7453080004,KOSPI
KIWOOM 미국달러SOFR금리액티브(합성),,460270,KR7460270002,KOSPI
KIWOOM 미국달러선물,,138230,KR7138230008,KOSPI
KIWOOM 미국달러선물레버리지,,225800,KR7225800002,KOSPI
KIWOOM 미국달러선물인버스,,139660,KR7139660005,KOSPI
KIWOOM 미국달러선물인버스2X,,230480,KR7230480006,KOSPI
KIWOOM 미국대형주500월간목표헤지액티브,,0084E0,KR70084E0007,KOSPI
KIWOOM 미국방어배당성장나스닥,,373790,KR7373790005,KOSPI
KIWOOM 미국블록버스터바이오테크의약품+,,483030,KR7483030003,KOSPI
KIWOOM 미국성장기업30액티브,,459790,KR7459790002,KOSPI
KIWOOM 미국양자컴퓨팅,,498270,KR7498270008,KOSPI
KIWOOM 미국원유에너지기업,,474800,KR7474800000,KOSPI
KIWOOM 미국테크100월간목표헤지액티브,,0084D0,KR70084D0008,KOSPI
KIWOOM 블루칩,,104520,KR7104520002,KOSPI
KIWOOM 엔비디아미국30년국채혼합액티브(H,,0015E0,KR70015E0001,KOSPI
KIWOOM 의료AI,,483020,KR7483020004,KOSPI
KIWOOM 인도Nifty50(합성),,200250,KR7200250009,KOSPI
KIWOOM 종합채권(AA-이상)액티브,,454780,KR7454780008,KOSPI
KIWOOM 차이나A50커넥트MSCI,,441330,KR7441330008,KOSPI
KIWOOM 차이나내수소비TOP CSI,,454180,KR7454180001,KOSPI
KIWOOM 코리아밸류업,,496090,KR7496090002,KOSPI
KIWOOM 코스닥150,,316670,KR7316670009,KOSPI
KIWOOM 코스닥150선물레버리지,,291630,KR7291630002,KOSPI
KIWOOM 코스닥150선물인버스,,291620,KR7291620003,KOSPI
KIWOOM 코스피100,,153270,KR7153270004,KOSPI
KIWOOM 통안채1년,,122260,KR7122260003,KOSPI
KIWOOM 팔란티어미국30년국채혼합액티브(H,,0015F0,KR70015F0000,KOSPI
KIWOOM 한국고배당&미국AI테크,,0097L0,KR70097L0003,KOSPI
KNN,,058400,KR7058400003,KOSDAQ
KODEX 200,,069500,KR7069500007,KOSPI
KODEX 200 중소형,,226980,KR7226980001,KOSPI
KODEX 200ESG,,337160,KR7337160006,KOSPI
KODEX 200IT TR,,363580,KR7363580002,KOSPI
KODEX 200TR,,278530,KR7278530001,KOSPI
KODEX 200exTOP,,337150,KR7337150007,KOSPI
KODEX 200가치저변동,,223190,KR7223190000,KOSPI
KODEX 200동일가중,,252650,KR7252650007,KOSPI
KODEX 200롱코스닥150숏선물,,360140,KR7360140008,KOSPI
KODEX 200미국채혼합,,284430,KR7284430006,KOSPI
KODEX 200선물인버스2X,,252670,KR7252670005,KOSPI
KODEX 200액티브,,494890,KR7494890007,KOSPI
KODEX 200타겟위클리커버드콜,,498400,KR7498400001,KOSPI
KODEX 26-12 금융채(AA-이상)액티브,,0117L0,KR70117L0009,KOSPI
KODEX 26-12 회사채(AA-이상)액티브,,473290,KR7473290005,KOSPI
KODEX 27-12 회사채(AA-이상)액티브,,0007F0,KR70007F0000,KOSPI
KODEX 28-12 회사채(AA-이상)액티브,,0119H0,KR70119H0003,KOSPI
KODEX 2차전지산업,,305720,KR7305720005,KOSPI
KODEX 2차전지산업레버리지,,462330,KR7462330002,KOSPI
KODEX 2차전지핵심소재10,,461950,KR7461950008,KOSPI
KODEX 33-06 국고채액티브,,457690,KR7457690006,KOSPI
KODEX 3대농산물선물(H),,271060,KR7271060006,KOSPI
KODEX 53-09 국고채액티브,,457700,KR7457700003,KOSPI
KODEX AI반도체,,395160,KR7395160005,KOSPI
KODEX AI반도체핵심장비,,471990,KR7471990002,KOSPI
KODEX AI전력핵심설비,,487240,KR7487240004,KOSPI
KODEX CD1년금리플러스액티브(합성),,481050,KR7481050003,KOSPI
KODEX CD금리액티브(합성),,459580,KR7459580007,KOSPI
KODEX ESG종합채권(A-이상)액티브,,439860,KR7439860008,KOSPI
KODEX IT,,266370,KR7266370006,KOSPI
KODEX K-뉴딜디지털플러스,,368680,KR7368680005,KOSPI
KODEX KOFR금리액티브(합성),,423160,KR7423160001,KOSPI
KODEX KRX300,,292190,KR7292190006,KOSPI
KODEX KRX300레버리지,,306950,KR7306950007,KOSPI
KODEX KTOP30,,229720,KR7229720008,KOSPI
